id,player_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,current_tier,offense,defense,playmaking,shooting,rebounding,athleticism,intangibles,durability,badges,archetype,source_file,source_line
ryan-kalkbrenner-2025-26,Ryan Kalkbrenner (2025-26),Ryan Kalkbrenner (2025-26),Charlotte Hornets,2025-26,C,,81,Sapphire,87,88,78,80,91,88,90,91,Glass Cleaner,2025-26 Interior Anchor,src/data/players-current-2026.ts,376
ryan-nembhard-2025-26,Ryan Nembhard (2025-26),Ryan Nembhard (2025-26),Dallas Mavericks,2025-26,PG,,81,Sapphire,79,77,87,83,78,78,80,87,,2025-26 Rotation Piece,src/data/players-current-2026.ts,637
sam-merrill-2025-26,Sam Merrill (2025-26),Sam Merrill (2025-26),Cleveland Cavaliers,2025-26,SG,,81,Sapphire,81,76,78,88,74,77,81,85,Elite Shooter,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,398
scotty-pippen-jr-2025-26,Scotty Pippen Jr. (2025-26),Scotty Pippen Jr. (2025-26),Memphis Grizzlies,2025-26,PG,,81,Sapphire,83,83,84,82,80,84,80,73,,2025-26 Rotation Piece,src/data/players-current-2026.ts,525
shaun-livingston-nets,Shaun Livingston (Nets),Shaun Livingston (Nets),Brooklyn Nets,Team-specific historical variant,PG,SG,81,Sapphire,,,,,,,,,,,src/data/players.ts,915
simone-fontecchio-2025-26,Simone Fontecchio (2025-26),Simone Fontecchio (2025-26),Miami Heat,2025-26,SF,,81,Sapphire,78,77,76,83,77,76,80,91,,2025-26 Floor Spacer,src/data/players-current-2026.ts,423
sion-james-2025-26,Sion James (2025-26),Sion James (2025-26),Charlotte Hornets,2025-26,SG,,81,Sapphire,77,86,83,85,84,84,86,96,,2025-26 Rotation Piece,src/data/players-current-2026.ts,526
steve-kerr,Steve Kerr,Steve Kerr,Chicago Bulls,1988-2003,PG,SG,81,Sapphire,79,47,61,98,24,42,91,79,Elite Shooter;Off-Ball Gravity;Clutch,Specialist Floor Spacer,src/data/players.ts,369
stromile-swift,Stromile Swift,Stromile Swift,Memphis Grizzlies,2000-2010,PF,C,81,Sapphire,73,72,22,26,76,91,76,71,Vertical Threat;Athletic Freak;Motor,Athletic Bench Big,src/data/players.ts,705
t-j-mcconnell-2025-26,T.J. McConnell (2025-26),T.J. McConnell (2025-26),Indiana Pacers,2025-26,PG,,81,Sapphire,82,80,85,78,75,78,83,85,,2025-26 Connector Creator,src/data/players-current-2026.ts,424
tidjane-sala-n-2025-26,Tidjane Salaün (2025-26),Tidjane Salaün (2025-26),Charlotte Hornets,2025-26,PF,,81,Sapphire,81,80,76,84,83,79,81,78,,2025-26 Rotation Piece,src/data/players-current-2026.ts,506
tristan-da-silva-2025-26,Tristan Da Silva (2025-26),Tristan Da Silva (2025-26),Orlando Magic,2025-26,SF,,81,Sapphire,84,87,84,90,85,86,89,95,,2025-26 Two-Way Wing,src/data/players-current-2026.ts,379
v-t-krejc-2025-26,Vít Krejcí (2025-26),Vít Krejcí (2025-26),Portland Trail Blazers,2025-26,PG,,81,Sapphire,80,81,80,86,77,80,82,89,,2025-26 Shotmaking Guard,src/data/players-current-2026.ts,445
will-richard-2025-26,Will Richard (2025-26),Will Richard (2025-26),Golden State Warriors,2025-26,SG,,81,Sapphire,80,83,77,84,80,82,82,91,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,488
wilson-chandler-knicks,Wilson Chandler (Knicks),Wilson Chandler (Knicks),New York Knicks,Team-specific historical variant,SF,PF,81,Sapphire,,,,,,,,,,,src/data/players.ts,916
yanic-konan-niederh-user-2025-26,Yanic Konan Niederhäuser (2025-26),Yanic Konan Niederhäuser (2025-26),Los Angeles Clippers,2025-26,C,,81,Sapphire,83,83,77,81,84,83,83,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,545
yves-missi-2025-26,Yves Missi (2025-26),Yves Missi (2025-26),New Orleans Pelicans,2025-26,C,,81,Sapphire,80,82,78,75,88,83,83,89,Glass Cleaner,2025-26 Rotation Piece,src/data/players-current-2026.ts,489
zaccharie-risacher-2025-26,Zaccharie Risacher (2025-26),Zaccharie Risacher (2025-26),Atlanta Hawks,2025-26,SF,,81,Sapphire,79,82,75,82,81,81,81,88,,2025-26 Rotation Piece,src/data/players-current-2026.ts,446
zach-collins-2025-26,Zach Collins (2025-26),Zach Collins (2025-26),Chicago Bulls,2025-26,C,,81,Sapphire,85,80,82,85,86,83,83,73,,2025-26 Rotation Piece,src/data/players-current-2026.ts,469
adem-bona-2025-26,Adem Bona (2025-26),Adem Bona (2025-26),Philadelphia 76ers,2025-26,C,,80,Sapphire,83,86,75,82,89,86,84,91,,2025-26 Rotation Piece,src/data/players-current-2026.ts,470
al-horford-2025-26,Al Horford (2025-26),Al Horford (2025-26),Golden State Warriors,2025-26,C,,80,Sapphire,82,87,86,87,87,84,86,82,,2025-26 Rotation Piece,src/data/players-current-2026.ts,380
ben-sheppard-2025-26,Ben Sheppard (2025-26),Ben Sheppard (2025-26),Indiana Pacers,2025-26,SG,,80,Sapphire,80,80,84,86,82,81,83,89,,2025-26 Rotation Piece,src/data/players-current-2026.ts,529
bogdan-bogdanovic-2025-26,Bogdan Bogdanovic (2025-26),Bogdan Bogdanovic (2025-26),Los Angeles Clippers,2025-26,SG,,80,Sapphire,81,79,83,84,80,80,80,76,,2025-26 Rotation Piece,src/data/players-current-2026.ts,593
bones-hyland-2025-26,Bones Hyland (2025-26),Bones Hyland (2025-26),Minnesota Timberwolves,2025-26,PG,,80,Sapphire,86,84,88,88,77,82,88,91,,2025-26 Shotmaking Guard,src/data/players-current-2026.ts,406
caleb-love-2025-26,Caleb Love (2025-26),Caleb Love (2025-26),Portland Trail Blazers,2025-26,SG,,80,Sapphire,82,79,86,84,79,81,81,83,,2025-26 Rotation Piece,src/data/players-current-2026.ts,546
caleb-martin-2025-26,Caleb Martin (2025-26),Caleb Martin (2025-26),Dallas Mavericks,2025-26,SF,,80,Sapphire,79,85,81,81,81,83,82,85,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,576
carter-bryant-2025-26,Carter Bryant (2025-26),Carter Bryant (2025-26),San Antonio Spurs,2025-26,PF,,80,Sapphire,79,83,79,82,83,80,83,90,,2025-26 Rotation Piece,src/data/players-current-2026.ts,611
cole-anthony-2025-26,Cole Anthony (2025-26),Cole Anthony (2025-26),Milwaukee Bucks,2025-26,PG,,80,Sapphire,81,82,84,80,81,81,78,78,,2025-26 Rotation Piece,src/data/players-current-2026.ts,579
corey-kispert-2025-26,Corey Kispert (2025-26),Corey Kispert (2025-26),Atlanta Hawks,2025-26,SF,,80,Sapphire,83,75,80,86,77,79,81,84,,2025-26 Floor Spacer,src/data/players-current-2026.ts,475
courtney-lee-magic,Courtney Lee (Magic),Courtney Lee (Magic),Orlando Magic,2008-2010,SG,SF,80,Sapphire,76,78,40,82,36,74,82,81,Wing Stopper;Elite Shooter;Connector,3-and-D Role Guard,src/data/players.ts,718
dalton-knecht-2025-26,Dalton Knecht (2025-26),Dalton Knecht (2025-26),Los Angeles Lakers,2025-26,SF,,80,Sapphire,81,79,78,83,79,79,81,83,,2025-26 Rotation Piece,src/data/players-current-2026.ts,646
demarre-carroll,DeMarre Carroll,DeMarre Carroll,Atlanta Hawks,2009-2020,SF,PF,80,Sapphire,74,82,38,78,58,73,84,74,Wing Stopper;Elite Shooter;Motor,3-and-D Hustle Wing,src/data/players.ts,596
derek-fisher,Derek Fisher,Derek Fisher,Los Angeles Lakers,1996-2014,PG,SG,80,Sapphire,77,64,68,82,31,58,92,89,Clutch;Champion DNA;Elite Shooter,Championship Connector Guard,src/data/players.ts,652
deron-williams-cavaliers,Deron Williams (Cavaliers),Deron Williams (Cavaliers),Cleveland Cavaliers,Team-specific historical variant,PG,SG,80,Sapphire,,,,,,,,,,,src/data/players.ts,917
drake-powell-2025-26,Drake Powell (2025-26),Drake Powell (2025-26),Brooklyn Nets,2025-26,SG,,80,Sapphire,82,83,82,84,80,85,81,88,,2025-26 Rotation Piece,src/data/players-current-2026.ts,654
dru-smith-2025-26,Dru Smith (2025-26),Dru Smith (2025-26),Miami Heat,2025-26,SG,,80,Sapphire,76,82,79,77,76,79,81,90,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,455
gary-payton-ii-2025-26,Gary Payton II (2025-26),Gary Payton II (2025-26),Golden State Warriors,2025-26,SG,,80,Sapphire,86,87,85,82,87,84,88,92,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,361
gheorghe-muresan,Gheorghe Muresan,Gheorghe Muresan,Washington Wizards,1993-2000,C,,80,Sapphire,69,86,18,38,83,34,81,53,Paint Gravity;Rim Protector;Interior Force,Massive Paint Specialist,src/data/players.ts,678
gradey-dick-2025-26,Gradey Dick (2025-26),Gradey Dick (2025-26),Toronto Raptors,2025-26,SG,,80,Sapphire,80,82,78,82,80,82,83,92,,2025-26 Rotation Piece,src/data/players-current-2026.ts,597
guerschon-yabusele-2025-26,Guerschon Yabusele (2025-26),Guerschon Yabusele (2025-26),Chicago Bulls,2025-26,C,,80,Sapphire,80,82,80,84,86,82,84,89,,2025-26 Rotation Piece,src/data/players-current-2026.ts,548
haywood-highsmith-2025-26,Haywood Highsmith (2025-26),Haywood Highsmith (2025-26),Phoenix Suns,2025-26,SF,,80,Sapphire,83,81,82,86,81,81,84,71,,2025-26 Rotation Piece,src/data/players-current-2026.ts,496
hugo-gonz-lez-2025-26,Hugo González (2025-26),Hugo González (2025-26),Boston Celtics,2025-26,SF,,80,Sapphire,79,87,76,83,85,82,85,92,,2025-26 Rotation Piece,src/data/players-current-2026.ts,530
isaac-okoro-2025-26,Isaac Okoro (2025-26),Isaac Okoro (2025-26),Chicago Bulls,2025-26,SG,,80,Sapphire,82,82,82,85,81,87,83,89,,2025-26 Rotation Piece,src/data/players-current-2026.ts,497
j-r-smith,J.R. Smith,J.R. Smith,Cleveland Cavaliers,2004-2020,SG,SF,80,Sapphire,81,58,42,84,40,78,77,81,Bench Scorer;Elite Shooter;Clutch,Microwave Heat-Check Wing,src/data/players.ts,662
ja-kobe-walter-2025-26,Ja'Kobe Walter (2025-26),Ja'Kobe Walter (2025-26),Toronto Raptors,2025-26,SG,,80,Sapphire,79,82,76,86,77,80,83,89,Point-of-Attack,2025-26 Perimeter Sniper,src/data/players-current-2026.ts,414
jamaree-bouyea-2025-26,Jamaree Bouyea (2025-26),Jamaree Bouyea (2025-26),Phoenix Suns,2025-26,PG,,80,Sapphire,81,84,84,80,79,81,84,81,,2025-26 Rotation Piece,src/data/players-current-2026.ts,532
jarred-vanderbilt-2025-26,Jarred Vanderbilt (2025-26),Jarred Vanderbilt (2025-26),Los Angeles Lakers,2025-26,PF,,80,Sapphire,80,87,80,80,89,84,83,88,Point-of-Attack,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,515
jason-terry-celtics,Jason Terry (Celtics),Jason Terry (Celtics),Boston Celtics,Team-specific historical variant,SG,PG,80,Sapphire,,,,,,,,,,,src/data/players.ts,918
javon-small-2025-26,Javon Small (2025-26),Javon Small (2025-26),Memphis Grizzlies,2025-26,PG,,80,Sapphire,86,82,87,89,83,84,85,80,,2025-26 Shotmaking Guard,src/data/players-current-2026.ts,416
jay-williams,Jay Williams,Jay Williams,Chicago Bulls,2002-2003,PG,SG,80,Sapphire,79,42,78,73,28,78,73,18,Floor General;Shot Creator;Clutch,Lost-Potential Lead Guard,src/data/players.ts,704
jeremy-sochan-2025-26,Jeremy Sochan (2025-26),Jeremy Sochan (2025-26),New York Knicks,2025-26,PF,,80,Sapphire,80,83,80,80,83,81,83,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,564
jimmer-fredette,Jimmer Fredette,Jimmer Fredette,Sacramento Kings,2011-2019,PG,SG,80,Sapphire,82,31,60,90,24,60,78,70,Deep Range;Elite Shooter;Bench Scorer,Deep Bench Gunner,src/data/players.ts,702
jock-landale-2025-26,Jock Landale (2025-26),Jock Landale (2025-26),Atlanta Hawks,2025-26,C,,80,Sapphire,87,83,85,86,92,86,89,91,Glass Cleaner,2025-26 Rotation Piece,src/data/players-current-2026.ts,342
jordan-clarkson-2025-26,Jordan Clarkson (2025-26),Jordan Clarkson (2025-26),New York Knicks,2025-26,SG,,80,Sapphire,83,79,82,84,79,82,83,92,,2025-26 Rotation Piece,src/data/players-current-2026.ts,549
jordan-goodwin-2025-26,Jordan Goodwin (2025-26),Jordan Goodwin (2025-26),Phoenix Suns,2025-26,PG,,80,Sapphire,82,89,86,86,90,86,90,92,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,343
jordan-walsh-2025-26,Jordan Walsh (2025-26),Jordan Walsh (2025-26),Boston Celtics,2025-26,PF,,80,Sapphire,79,84,75,82,83,81,84,88,Switchable Big,2025-26 Frontcourt Enforcer,src/data/players-current-2026.ts,418
josh-okogie-2025-26,Josh Okogie (2025-26),Josh Okogie (2025-26),Houston Rockets,2025-26,SG,,80,Sapphire,79,86,78,84,83,84,87,94,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,518
julian-strawther-2025-26,Julian Strawther (2025-26),Julian Strawther (2025-26),Denver Nuggets,2025-26,SG,,80,Sapphire,84,79,82,86,79,80,83,85,,2025-26 Rotation Piece,src/data/players-current-2026.ts,536
justin-champagnie-2025-26,Justin Champagnie (2025-26),Justin Champagnie (2025-26),Washington Wizards,2025-26,SF,,80,Sapphire,79,80,77,79,84,80,81,91,Glass Cleaner,2025-26 Rotation Piece,src/data/players-current-2026.ts,370
justin-edwards-2025-26,Justin Edwards (2025-26),Justin Edwards (2025-26),Philadelphia 76ers,2025-26,SF,,80,Sapphire,81,84,83,86,77,81,85,87,,2025-26 Rotation Piece,src/data/players-current-2026.ts,519
kasparas-jakucionis-2025-26,Kasparas Jakucionis (2025-26),Kasparas Jakucionis (2025-26),Miami Heat,2025-26,PG,,80,Sapphire,79,78,80,85,77,78,81,82,,2025-26 Shotmaking Guard,src/data/players-current-2026.ts,460
kelly-olynyk-2025-26,Kelly Olynyk (2025-26),Kelly Olynyk (2025-26),San Antonio Spurs,2025-26,C,,80,Sapphire,82,82,82,81,81,81,83,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,550
kendrick-perkins-thunder,Kendrick Perkins (Thunder),Kendrick Perkins (Thunder),Oklahoma City Thunder,Team-specific historical variant,C,,80,Sapphire,,,,,,,,,,,src/data/players.ts,919
keon-ellis-2025-26,Keon Ellis (2025-26),Keon Ellis (2025-26),Cleveland Cavaliers,2025-26,SG,,80,Sapphire,78,85,76,82,75,81,83,93,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,462
kevin-huerter-2025-26,Kevin Huerter (2025-26),Kevin Huerter (2025-26),Detroit Pistons,2025-26,SF,,80,Sapphire,80,75,78,84,74,77,80,91,Wing Stopper,2025-26 Two-Way Wing,src/data/players-current-2026.ts,393
khaman-maluach-2025-26,Khaman Maluach (2025-26),Khaman Maluach (2025-26),Phoenix Suns,2025-26,C,,80,Sapphire,81,82,76,80,85,82,81,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,603
kyle-kuzma-2025-26,Kyle Kuzma (2025-26),Kyle Kuzma (2025-26),Milwaukee Bucks,2025-26,PF,,80,Sapphire,88,83,86,86,87,87,84,92,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,371
leonard-miller-2025-26,Leonard Miller (2025-26),Leonard Miller (2025-26),Chicago Bulls,2025-26,SF,,80,Sapphire,85,81,80,84,86,82,84,81,,2025-26 Rotation Piece,src/data/players-current-2026.ts,482
lonzo-ball-2025-26,Lonzo Ball (2025-26),Lonzo Ball (2025-26),Cleveland Cavaliers,2025-26,PG,,80,Sapphire,78,86,85,81,85,83,81,79,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,552
marcus-sasser-2025-26,Marcus Sasser (2025-26),Marcus Sasser (2025-26),Detroit Pistons,2025-26,PG,,80,Sapphire,80,81,84,86,76,79,82,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,587
mario-chalmers,Mario Chalmers,Mario Chalmers,Miami Heat,2008-2018,PG,SG,80,Sapphire,77,70,74,80,32,67,84,79,Connector;Champion DNA;Elite Shooter,Support Guard Spacer,src/data/players.ts,659
matisse-thybulle-2025-26,Matisse Thybulle (2025-26),Matisse Thybulle (2025-26),Portland Trail Blazers,2025-26,SG,,80,Sapphire,76,84,73,81,74,79,81,74,Point-of-Attack,2025-26 Rotation Piece,src/data/players-current-2026.ts,501
mike-bibby-grizzlies,Mike Bibby (Grizzlies),Mike Bibby (Grizzlies),Memphis Grizzlies,Team-specific historical variant,PG,SG,80,Sapphire,,,,,,,,,,,src/data/players.ts,920
mike-conley-2025-26,Mike Conley (2025-26),Mike Conley (2025-26),Minnesota Timberwolves,2025-26,PG,,80,Sapphire,78,84,85,84,77,82,84,84,,2025-26 Rotation Piece,src/data/players-current-2026.ts,568
morris-peterson-hornets,Morris Peterson (Hornets),Morris Peterson (Hornets),New Orleans Pelicans,2007-2010,SF,SG,80,Sapphire,74,76,34,82,46,69,84,80,Elite Shooter;Wing Stopper;Connector,Low-Usage 3-and-D Wing,src/data/players.ts,489
moussa-cisse-2025-26,Moussa Cisse (2025-26),Moussa Cisse (2025-26),Dallas Mavericks,2025-26,C,,80,Sapphire,82,85,76,79,89,85,82,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,538
nae-qwan-tomlin-2025-26,Nae'Qwan Tomlin (2025-26),Nae'Qwan Tomlin (2025-26),Cleveland Cavaliers,2025-26,PF,,80,Sapphire,81,85,80,80,85,84,85,87,,2025-26 Rotation Piece,src/data/players-current-2026.ts,523
nate-robinson,Nate Robinson,Nate Robinson,New York Knicks,2005-2016,PG,SG,80,Sapphire,81,42,66,79,28,94,83,74,Athletic Freak;Bench Scorer;Clutch,Jet-Quick Microwave Guard,src/data/players.ts,695
nick-young,Nick Young,Nick Young,Los Angeles Lakers,2007-2018,SG,SF,80,Sapphire,82,34,30,84,32,73,77,77,Shot Creator;Bench Scorer;Clutch,Heat-Check Isolation Wing,src/data/players.ts,707
ochai-agbaji-2025-26,Ochai Agbaji (2025-26),Ochai Agbaji (2025-26),Brooklyn Nets,2025-26,SG,,80,Sapphire,82,84,80,84,82,82,83,86,,2025-26 Rotation Piece,src/data/players-current-2026.ts,634
olivier-maxence-prosper-2025-26,Olivier-Maxence Prosper (2025-26),Olivier-Maxence Prosper (2025-26),Memphis Grizzlies,2025-26,PF,,80,Sapphire,79,76,75,80,78,78,78,84,,2025-26 Floor Spacer,src/data/players-current-2026.ts,397
ousmane-dieng-2025-26,Ousmane Dieng (2025-26),Ousmane Dieng (2025-26),Milwaukee Bucks,2025-26,C,,80,Sapphire,81,81,84,83,83,81,80,86,,2025-26 Rotation Piece,src/data/players-current-2026.ts,571
p-j-tucker,P.J. Tucker,P.J. Tucker,Houston Rockets,2006-Present,PF,SF,80,Sapphire,66,86,40,81,64,61,91,88,Wing Stopper;Elite Shooter;Defensive IQ,Corner Three Enforcer,src/data/players.ts,598
pat-spencer-2025-26,Pat Spencer (2025-26),Pat Spencer (2025-26),Golden State Warriors,2025-26,PG,,80,Sapphire,81,82,87,83,81,82,83,89,,2025-26 Rotation Piece,src/data/players-current-2026.ts,524
pelle-larsson-2025-26,Pelle Larsson (2025-26),Pelle Larsson (2025-26),Miami Heat,2025-26,SG,,80,Sapphire,87,83,87,85,84,87,88,93,Paint Pressure,2025-26 Rotation Piece,src/data/players-current-2026.ts,374
rafer-alston,Rafer Alston,Rafer Alston,Orlando Magic,1998-2010,PG,SG,80,Sapphire,79,58,81,77,30,69,81,83,Floor General;Tempo Control;Shot Creator,Streetball Floor General,src/data/players.ts,647
rob-dillingham-2025-26,Rob Dillingham (2025-26),Rob Dillingham (2025-26),Chicago Bulls,2025-26,PG,,80,Sapphire,80,81,83,80,79,80,77,88,,2025-26 Rotation Piece,src/data/players-current-2026.ts,636
ronnie-brewer-jazz,Ronnie Brewer (Jazz),Ronnie Brewer (Jazz),Utah Jazz,2006-2010,SG,SF,80,Sapphire,72,82,48,54,40,84,81,77,Wing Stopper;Transition Force;Motor,Slashing Defensive Wing,src/data/players.ts,732
shaun-livingston-warriors,Shaun Livingston (Warriors),Shaun Livingston (Warriors),Golden State Warriors,Team-specific historical variant,PG,SG,80,Sapphire,,,,,,,,,,,src/data/players.ts,921
spud-webb,Spud Webb,Spud Webb,Atlanta Hawks,1985-1998,PG,SG,80,Sapphire,81,42,76,71,24,96,83,74,Athletic Freak;Transition Force;Bench Scorer,Jet-Speed Bench Guard,src/data/players.ts,567
terance-mann-2025-26,Terance Mann (2025-26),Terance Mann (2025-26),Brooklyn Nets,2025-26,SG,,80,Sapphire,81,81,85,85,84,84,82,89,,2025-26 Rotation Piece,src/data/players-current-2026.ts,505
trendon-watford-2025-26,Trendon Watford (2025-26),Trendon Watford (2025-26),Philadelphia 76ers,2025-26,PF,,80,Sapphire,82,81,83,79,82,80,82,82,,2025-26 Rotation Piece,src/data/players-current-2026.ts,508
tyronn-lue,Tyronn Lue,Tyronn Lue,Los Angeles Lakers,1998-2009,PG,SG,80,Sapphire,78,47,76,80,24,69,83,73,Tempo Control;Connector;Champion DNA,Backup Pace Guard,src/data/players.ts,648
udonis-haslem,Udonis Haslem,Udonis Haslem,Miami Heat,2003-2023,PF,C,80,Sapphire,72,73,34,52,81,58,95,87,Motor;Champion DNA;Glass Cleaner,Culture Rebounding Forward,src/data/players.ts,658
vince-williams-jr-2025-26,Vince Williams Jr. (2025-26),Vince Williams Jr. (2025-26),Utah Jazz,2025-26,SG,,80,Sapphire,81,84,86,83,85,83,81,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,509
walter-clayton-2025-26,Walter Clayton (2025-26),Walter Clayton (2025-26),Memphis Grizzlies,2025-26,PG,,80,Sapphire,81,80,87,84,78,84,79,91,,2025-26 Rotation Piece,src/data/players-current-2026.ts,574
will-riley-2025-26,Will Riley (2025-26),Will Riley (2025-26),Washington Wizards,2025-26,SF,,80,Sapphire,84,78,84,84,82,85,80,93,,2025-26 Rotation Piece,src/data/players-current-2026.ts,528
aaron-holiday-2025-26,Aaron Holiday (2025-26),Aaron Holiday (2025-26),Houston Rockets,2025-26,PG,,79,Emerald,81,81,80,87,76,80,83,85,,2025-26 Rotation Piece,src/data/players-current-2026.ts,592
alijah-martin-2025-26,Alijah Martin (2025-26),Alijah Martin (2025-26),Toronto Raptors,2025-26,SG,,79,Emerald,79,82,79,80,79,81,80,75,,2025-26 Rotation Piece,src/data/players-current-2026.ts,641
amir-coffey-2025-26,Amir Coffey (2025-26),Amir Coffey (2025-26),Phoenix Suns,2025-26,SG,,79,Emerald,81,79,80,83,78,80,82,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,624
asa-newell-2025-26,Asa Newell (2025-26),Asa Newell (2025-26),Atlanta Hawks,2025-26,PF,,79,Emerald,83,82,79,85,83,81,83,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,510
ben-saraf-2025-26,Ben Saraf (2025-26),Ben Saraf (2025-26),Brooklyn Nets,2025-26,SG,,79,Emerald,81,81,85,81,80,84,79,81,,2025-26 Rotation Piece,src/data/players-current-2026.ts,608
bradley-beal-2025-26,Bradley Beal (2025-26),Bradley Beal (2025-26),Los Angeles Clippers,2025-26,SG,,79,Emerald,81,78,81,83,77,80,79,71,,2025-26 Rotation Piece,src/data/players-current-2026.ts,652
branden-carlson-2025-26,Branden Carlson (2025-26),Branden Carlson (2025-26),Oklahoma City Thunder,2025-26,C,,79,Emerald,84,83,81,84,84,81,85,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,472
brandon-clarke-2025-26,Brandon Clarke (2025-26),Brandon Clarke (2025-26),Memphis Grizzlies,2025-26,PF,,79,Emerald,80,81,79,79,83,82,81,69,,2025-26 Rotation Piece,src/data/players-current-2026.ts,610
bryce-mcgowens-2025-26,Bryce McGowens (2025-26),Bryce McGowens (2025-26),New Orleans Pelicans,2025-26,SG,,79,Emerald,80,77,78,82,75,79,79,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,511
buddy-hield-2025-26,Buddy Hield (2025-26),Buddy Hield (2025-26),Atlanta Hawks,2025-26,SG,,79,Emerald,80,79,79,84,77,79,80,83,,2025-26 Rotation Piece,src/data/players-current-2026.ts,492
cam-whitmore-2025-26,Cam Whitmore (2025-26),Cam Whitmore (2025-26),Washington Wizards,2025-26,SF,,79,Emerald,83,81,79,81,82,83,80,75,,2025-26 Rotation Piece,src/data/players-current-2026.ts,559
charles-bassey-2025-26,Charles Bassey (2025-26),Charles Bassey (2025-26),Golden State Warriors,2025-26,C,,79,Emerald,79,79,75,76,83,79,80,71,,2025-26 Rotation Piece,src/data/players-current-2026.ts,474
charlie-ward-knicks,Charlie Ward (Knicks),Charlie Ward (Knicks),New York Knicks,1994-2004,PG,SG,79,Emerald,72,76,78,76,30,68,84,86,Connector;Point-of-Attack;Defensive IQ,Steady Two-Way Guard,src/data/players.ts,723
cody-williams-2025-26,Cody Williams (2025-26),Cody Williams (2025-26),Utah Jazz,2025-26,SG,,79,Emerald,81,81,83,78,82,86,79,91,,2025-26 Rotation Piece,src/data/players-current-2026.ts,578
d-angelo-russell-2025-26,D'Angelo Russell (2025-26),D'Angelo Russell (2025-26),Dallas Mavericks,2025-26,PG,,79,Emerald,82,77,85,81,78,80,79,77,,2025-26 Rotation Piece,src/data/players-current-2026.ts,560
dalano-banton-2025-26,Dalano Banton (2025-26),Dalano Banton (2025-26),Boston Celtics,2025-26,PG,,79,Emerald,79,82,81,80,78,81,80,71,,2025-26 Rotation Piece,src/data/players-current-2026.ts,645
devin-carter-2025-26,Devin Carter (2025-26),Devin Carter (2025-26),Sacramento Kings,2025-26,PG,,79,Emerald,82,82,85,81,84,84,80,79,,2025-26 Rotation Piece,src/data/players-current-2026.ts,514
drew-gooden,Drew Gooden,Drew Gooden,Cleveland Cavaliers,2002-2016,PF,C,79,Emerald,77,63,34,58,81,74,77,79,Glass Cleaner;Interior Force;Motor,Board-Crashing Interior Four,src/data/players.ts,636
drew-timme-2025-26,Drew Timme (2025-26),Drew Timme (2025-26),Los Angeles Lakers,2025-26,PF,,79,Emerald,83,78,81,84,79,79,81,76,,2025-26 Rotation Piece,src/data/players-current-2026.ts,595
dwight-powell-2025-26,Dwight Powell (2025-26),Dwight Powell (2025-26),Dallas Mavericks,2025-26,C,,79,Emerald,80,81,75,77,84,80,81,86,,2025-26 Rotation Piece,src/data/players-current-2026.ts,476
gerald-green,Gerald Green,Gerald Green,Houston Rockets,2005-2022,SG,SF,79,Emerald,79,42,34,80,38,92,77,73,Athletic Freak;Bench Scorer;Transition Force,Aerial Bench Gunner,src/data/players.ts,694
jabari-walker-2025-26,Jabari Walker (2025-26),Jabari Walker (2025-26),Philadelphia 76ers,2025-26,PF,,79,Emerald,81,82,78,82,85,82,84,87,,2025-26 Rotation Piece,src/data/players-current-2026.ts,563
jaden-hardy-2025-26,Jaden Hardy (2025-26),Jaden Hardy (2025-26),Washington Wizards,2025-26,SG,,79,Emerald,84,76,81,87,77,80,79,85,,2025-26 Rotation Piece,src/data/players-current-2026.ts,598
jae-sean-tate-2025-26,Jae'Sean Tate (2025-26),Jae'Sean Tate (2025-26),Houston Rockets,2025-26,SF,,79,Emerald,80,79,78,80,81,79,81,80,,2025-26 Rotation Piece,src/data/players-current-2026.ts,648
james-wiseman-2025-26,James Wiseman (2025-26),James Wiseman (2025-26),Indiana Pacers,2025-26,C,,79,Emerald,81,79,78,80,81,81,79,70,,2025-26 Rotation Piece,src/data/players-current-2026.ts,650
