id,player_name,canonical_name,card_name_version,team,era,primary_position,secondary_positions,current_ovr,proposed_ovr,delta,current_tier,proposed_tier,internal_score,peak_ability,career_achievement,longevity,playoff_performance,awards_honors,historical_impact,badges,archetype,model_source,confidence,evidence_level,nearest_anchor_above_or_equal,nearest_anchor_below_or_equal,manual_review,manual_review_reason,reasoning,source_file,source_line
cameron-payne-2025-26,Cameron Payne (2025-26),Cameron Payne,Cameron Payne (2025-26),Philadelphia 76ers,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,512
cody-martin-2025-26,Cody Martin (2025-26),Cody Martin,Cody Martin (2025-26),Indiana Pacers,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,644
craig-porter-jr-2025-26,Craig Porter Jr. (2025-26),Craig Porter Jr.,Craig Porter Jr. (2025-26),Cleveland Cavaliers,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,Wing Stopper;Point-of-Attack,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,452
dalen-terry-2025-26,Dalen Terry (2025-26),Dalen Terry,Dalen Terry (2025-26),Philadelphia 76ers,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,580
dorian-finney-smith-2025-26,Dorian Finney-Smith (2025-26),Dorian Finney-Smith,Dorian Finney-Smith (2025-26),Houston Rockets,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,669
drew-eubanks-2025-26,Drew Eubanks (2025-26),Drew Eubanks,Drew Eubanks (2025-26),Sacramento Kings,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,562
duop-reath-2025-26,Duop Reath (2025-26),Duop Reath,Duop Reath (2025-26),Portland Trail Blazers,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,596
gabe-vincent-2025-26,Gabe Vincent (2025-26),Gabe Vincent,Gabe Vincent (2025-26),Atlanta Hawks,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,670
garrett-temple-2025-26,Garrett Temple (2025-26),Garrett Temple,Garrett Temple (2025-26),Toronto Raptors,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,671
garrison-mathews-2025-26,Garrison Mathews (2025-26),Garrison Mathews,Garrison Mathews (2025-26),Indiana Pacers,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,581
jalen-pickett-2025-26,Jalen Pickett (2025-26),Jalen Pickett,Jalen Pickett (2025-26),Denver Nuggets,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,599
jalen-wilson-2025-26,Jalen Wilson (2025-26),Jalen Wilson,Jalen Wilson (2025-26),Brooklyn Nets,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,649
jeff-green-2025-26,Jeff Green (2025-26),Jeff Green,Jeff Green (2025-26),Houston Rockets,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,673
jeremiah-robinson-earl-2025-26,Jeremiah Robinson-Earl (2025-26),Jeremiah Robinson-Earl,Jeremiah Robinson-Earl (2025-26),Dallas Mavericks,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,651
jericho-sims-2025-26,Jericho Sims (2025-26),Jericho Sims,Jericho Sims (2025-26),Milwaukee Bucks,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,Glass Cleaner,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,478
jett-howard-2025-26,Jett Howard (2025-26),Jett Howard,Jett Howard (2025-26),Orlando Magic,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,583
jevon-carter-2025-26,Jevon Carter (2025-26),Jevon Carter,Jevon Carter (2025-26),Orlando Magic,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,534
joan-beringer-2025-26,Joan Beringer (2025-26),Joan Beringer,Joan Beringer (2025-26),Minnesota Timberwolves,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,516
joe-ingles-2025-26,Joe Ingles (2025-26),Joe Ingles,Joe Ingles (2025-26),Minnesota Timberwolves,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,565
kobe-brown-2025-26,Kobe Brown (2025-26),Kobe Brown,Kobe Brown (2025-26),Indiana Pacers,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,520
kris-murray-2025-26,Kris Murray (2025-26),Kris Murray,Kris Murray (2025-26),Portland Trail Blazers,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,522
kyle-anderson-2025-26,Kyle Anderson (2025-26),Kyle Anderson,Kyle Anderson (2025-26),Minnesota Timberwolves,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,Point-of-Attack,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,439
liam-mcneeley-2025-26,Liam McNeeley (2025-26),Liam McNeeley,Liam McNeeley (2025-26),Charlotte Hornets,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,566
mac-mcclung-2025-26,Mac McClung (2025-26),Mac McClung,Mac McClung (2025-26),Chicago Bulls,2025-26,PG,SG,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,614
maxi-kleber-2025-26,Maxi Kleber (2025-26),Maxi Kleber,Maxi Kleber (2025-26),Los Angeles Lakers,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,658
nick-smith-jr-2025-26,Nick Smith Jr. (2025-26),Nick Smith Jr.,Nick Smith Jr. (2025-26),Los Angeles Lakers,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,632
orlando-robinson-2025-26,Orlando Robinson (2025-26),Orlando Robinson,Orlando Robinson (2025-26),Orlando Magic,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,570
pat-connaughton-2025-26,Pat Connaughton (2025-26),Pat Connaughton,Pat Connaughton (2025-26),Charlotte Hornets,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,590
quenton-jackson-2025-26,Quenton Jackson (2025-26),Quenton Jackson,Quenton Jackson (2025-26),Indiana Pacers,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,486
seth-curry-2025-26,Seth Curry (2025-26),Seth Curry,Seth Curry (2025-26),Golden State Warriors,2025-26,SG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,542
sidy-cissoko-2025-26,Sidy Cissoko (2025-26),Sidy Cissoko,Sidy Cissoko (2025-26),Portland Trail Blazers,2025-26,SF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,616
thomas-bryant-2025-26,Thomas Bryant (2025-26),Thomas Bryant,Thomas Bryant (2025-26),Cleveland Cavaliers,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,468
tony-bradley-2025-26,Tony Bradley (2025-26),Tony Bradley,Tony Bradley (2025-26),Atlanta Hawks,2025-26,C,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,591
tyus-jones-2025-26,Tyus Jones (2025-26),Tyus Jones,Tyus Jones (2025-26),Denver Nuggets,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,663
yuki-kawamura-2025-26,Yuki Kawamura (2025-26),Yuki Kawamura,Yuki Kawamura (2025-26),Chicago Bulls,2025-26,PG,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,640
zeke-nnaji-2025-26,Zeke Nnaji (2025-26),Zeke Nnaji,Zeke Nnaji (2025-26),Denver Nuggets,2025-26,PF,,78,76,-2,Emerald,Emerald,75.9,77.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,621
tacko-fall,Tacko Fall,Tacko Fall,Tacko Fall,Boston Celtics,2019-2024,C,,76,76,0,Emerald,Emerald,75.8,77.4,75,75,75,75,75,Paint Anchor;Rim Protector;Paint Gravity,Novelty Rim Deterrent,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,700
brian-scalabrine,Brian Scalabrine,Brian Scalabrine,Brian Scalabrine,Boston Celtics,2001-2012,PF,C,76,76,0,Emerald,Emerald,75.6,76.4,75,75,75.7,75,75,Connector;Elite Shooter;Champion DNA,Deep-Bench Stretch Big,proxy-model,medium,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players.ts,644
adou-thiero-2025-26,Adou Thiero (2025-26),Adou Thiero,Adou Thiero (2025-26),Los Angeles Lakers,2025-26,SF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,622
amari-williams-2025-26,Amari Williams (2025-26),Amari Williams,Amari Williams (2025-26),Boston Celtics,2025-26,PF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,623
ariel-hukporti-2025-26,Ariel Hukporti (2025-26),Ariel Hukporti,Ariel Hukporti (2025-26),New York Knicks,2025-26,C,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,558
bismack-biyombo-2025-26,Bismack Biyombo (2025-26),Bismack Biyombo,Bismack Biyombo (2025-26),San Antonio Spurs,2025-26,C,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,642
blake-wesley-2025-26,Blake Wesley (2025-26),Blake Wesley,Blake Wesley (2025-26),Portland Trail Blazers,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,609
bobi-klintman-2025-26,Bobi Klintman (2025-26),Bobi Klintman,Bobi Klintman (2025-26),Detroit Pistons,2025-26,SF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,666
bronny-james-2025-26,Bronny James (2025-26),Bronny James,Bronny James (2025-26),Los Angeles Lakers,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,653
brooks-barnhizer-2025-26,Brooks Barnhizer (2025-26),Brooks Barnhizer,Brooks Barnhizer (2025-26),Oklahoma City Thunder,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,667
chaz-lanier-2025-26,Chaz Lanier (2025-26),Chaz Lanier,Chaz Lanier (2025-26),Detroit Pistons,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,679
christian-koloko-2025-26,Christian Koloko (2025-26),Christian Koloko,Christian Koloko (2025-26),Atlanta Hawks,2025-26,C,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,643
dario-aric-2025-26,Dario Šaric (2025-26),Dario Šaric,Dario Šaric (2025-26),Sacramento Kings,2025-26,C,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,680
dariq-whitehead-2025-26,Dariq Whitehead (2025-26),Dariq Whitehead,Dariq Whitehead (2025-26),Memphis Grizzlies,2025-26,SF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,594
daron-holmes-2025-26,DaRon Holmes (2025-26),DaRon Holmes,DaRon Holmes (2025-26),Denver Nuggets,2025-26,PF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,561
david-roddy-2025-26,David Roddy (2025-26),David Roddy,David Roddy (2025-26),Denver Nuggets,2025-26,PF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,493
doug-mcdermott-2025-26,Doug McDermott (2025-26),Doug McDermott,Doug McDermott (2025-26),Sacramento Kings,2025-26,SF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,647
eric-gordon-2025-26,Eric Gordon (2025-26),Eric Gordon,Eric Gordon (2025-26),Philadelphia 76ers,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,547
gary-harris-2025-26,Gary Harris (2025-26),Gary Harris,Gary Harris (2025-26),Milwaukee Bucks,2025-26,SG,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,612
harrison-ingram-2025-26,Harrison Ingram (2025-26),Harrison Ingram,Harrison Ingram (2025-26),San Antonio Spurs,2025-26,SF,,77,76,-1,Emerald,Emerald,75.5,76.5,75,75,75,75,75,,2025-26 Rotation Piece,proxy-model,low,game-data proxy; verify with Basketball Reference/NBA evidence before production merge,Michael Jordan (100),,yes,Proxy model used; no verified external statistical dataset attached.,"First-pass proxy from current OVR prior, badges, archetype, version context, and anchor-band guardrails.",src/data/players-current-2026.ts,625
